,titulo,preco_original,desconto_percentual,preco_com_desconto,quantidade_vendida,marca,material,genero,temporada,nota_satisfacao,quantidade_avaliações
128,Bermuda Térmica Masculina Esportiva Corrida Academia Treino,R$ 62.86,26%,R$ 49.89,10000,Keeper,Microfibra,Masculino,Primavera/Verão,4.8,1003
129,Bermuda Térmica Anti Assadura Feminina Shorts Esporte Novo,R$ 51.91,21%,R$ 42.90,100,Keeper,Microfibra,Feminino,Primavera/Verão,3.1,14
130,Bermuda Térmica Masculina Esportiva Corrida Academia Treino,R$ 60.16,24%,R$ 48.52,10000,Keeper,Microfibra,Masculino,Primavera/Verão,4.8,1004
131,Short Térmico Bermuda Masculina Original Academia Treino,R$ 52.85,18%,R$ 44.79,500,Keeper,Microfibra,Masculino,Primavera/Verão,4.6,63
132,Bermuda Térmica Feminina Esportiva Sem Costura Keeper,R$ 48.85,16%,R$ 42.11,25,Keeper,Microfibra,Feminino,Primavera/Verão,Sem avaliação,0
133,Bermdua Térmica Short Academia Fitness Feminino Corrida,R$ 46.96,10%,R$ 42.69,5,Keeper,Microfibra,Feminino,Primavera/Verão,Sem avaliação,0
134,Bermuda Térmica Academia Feminino Cintura Alta Fitness Top,R$ 48.85,16%,R$ 42.11,5,Keeper,Microfibra,Feminino,Primavera/Verão,Sem avaliação,0
135,Kit 5 Cuecas Anti Assadura Sem Atrito Academia E Corrida,R$ 173.97,16%,R$ 149.97,50,Keeper,Microfibra,Masculino,Primavera/Verão,5,11
136,Bermuda Térmica Masculina Esportiva Corrida Academia Treino,R$ 60.16,24%,R$ 48.52,10000,Keeper,Microfibra,Masculino,Primavera/Verão,3.1,1004
137,Bermuda Térmica Anti Assadura Feminina Shorts Esporte Novo,R$ 54.85,14%,R$ 48.11,100,Keeper,Microfibra,Feminino,Primavera/Verão,4.7,40
138,Kit 3 Bermuda Short Academia Fitness Feminino Tecido Térmico,R$ 158.88,14%,R$ 139.37,5,Keeper,Microfibra,Feminino,Primavera/Verão,3.1,1
139,Bermuda Térmica Masculina Segunda Pele Anti Assadura Premium,R$ 52.85,18%,R$ 44.79,5,Keeper,Microfibra,Masculino,Primavera/Verão,Sem avaliação,0
140,Kit 5 Cuecas Anti Assadura Esportiva Sem Costura Premium,R$ 273.96,37%,R$ 199.97,100,Keeper,Microfibra,Masculino,Primavera/Verão,3.1,50
141,Bermuda Térmica Masculinas Atacado Revenda Esportiva Com Nf,R$ 52.85,18%,R$ 44.79,5,Keeper,Microfibra,Masculino,Primavera/Verão,Sem avaliação,0
142,Kit 10 Cuecas Boxer Keeper Algodão Cotton Original Box,R$ 197.89,0%,R$ 197.89,2,Keeper,Algodão,Masculino,Primavera/Verão,Sem avaliação,0
143,Bermuda Térmica Anti Assadura Feminina Shorts Esporte Novo,R$ 46.96,10%,R$ 42.69,4,Keeper,Microfibra,Feminino,Primavera/Verão,Sem avaliação,0
144,Bermuda Térmica Masculina Esportiva Corrida Academia Treino,R$ 60.16,24%,R$ 48.52,10000,Keeper,Microfibra,Masculino,Primavera/Verão,4.8,1005
145,Kit 10 Cueca Keeper Box Boxer Cotton Algodão Original-nf,R$ 228.78,16%,R$ 197.22,2,Keeper,Algodão,Masculino,Primavera/Verão,Sem avaliação,0
146,Kit C/ 3 Cueca Box Térmica Sem Costura Anti Assadura Premium,R$ 119.78,16%,R$ 103.26,1,Keeper,Microfibra,Masculino,Primavera/Verão,Sem avaliação,0
